ID,chap,sp,trat,orient,pend,sol,Solvege,dom,alt0,a10,a20,vol0,frutos0,t0,t0pond,fustes0n,tocon0,sup1,frutos1,alt1,a11,a21,vol2,t1,sup2,frutos2,alt2,a12,a22,vol2,t2,sup3,frutos3,alt3,a13,a23,vol3,t3,sup4,frutos4,alt4,a14,a24,vol4,t4,sup5,frutos5,alt5,a15,a25,vol5,t5,nfustes5
30,37,ata,c,166,35,127,15,sub,340,350,370,44030000,662,0.50,1.00,1,26,1,0,249,123,27,826929,NA,1,0,340,232,200,15776000,NA,1,0,385,281,320,34619200,NA,1,230,412,365,312,46918560,0.70,1,0,217,185,160,6423200,NA,11
31,38,ata,a,177,11,125,40,sub,400,470,460,86480000,874,1.50,1.50,3,19,1,0,226,139,177,5560278,5.08,1,0,186,137,128,3261696,1.02,1,0,182,120,115,2511600,1.63,1,0,88,67,70,412720,1.47,0,NA,NA,NA,NA,NA,NA,NA
32,39,ata,b,188,35,143,10,dom,290,330,340,32538000,587,2.00,4.00,1,27,1,0,122,121,128,1889536,NA,1,3,177,234,251,10395918,1.02,1,0,176,48,127,1072896,NA,1,65,257,260,255,17039100,1.20,1,0,127,144,140,2560320,NA,12
33,40,ang,a,188,36,143,10,dom,316,280,177,15660960,448,2.00,4.00,3,20,1,0,160,141,92,2075520,5.08,1,0,142,106,139,2092228,1.17,1,0,139,112,28,435904,0.83,1,0,157,104,94,1534832,0.83,1,0,108,70,67,506520,1.22,12
34,41,ang,c,188,36,143,5,dom,385,350,330,44467500,664,1.00,2.00,6,29,1,0,163,155,140,3537100,NA,1,50,250,248,234,14508000,NA,1,540,212,400,356,30188800,NA,1,450,287,350,330,33148500,6.73,1,0,195,160,150,4680000,NA,21
35,42,ang,b,188,36,146,5,dom,360,300,220,23760000,521,1.50,3.00,5,29,1,0,185,131,109,2641615,NA,1,152,269,217,175,10215275,1.18,1,0,160,118,108,2039040,NA,1,0,277,170,180,8476200,1.50,1,0,145,106,75,1152750,NA,11
36,43,ang,c,179,30,138,20,dom,400,470,380,71440000,806,1.50,3.00,7,20,1,0,231,157,127,4605909,NA,1,0,315,270,294,25004700,NA,1,180,354,400,520,73632000,NA,1,1200,400,501,403,80761200,6.40,1,0,230,160,150,5520000,NA,26
38,45,ata,c,182,43,136,5,dom,190,217,270,11132100,399,0.50,1.00,1,12,1,0,128,114,103,1502976,NA,1,0,167,216,156,5627232,NA,1,0,213,330,250,17572500,NA,1,800,228,360,250,20520000,1.58,1,0,130,110,106,1515800,NA,8
39,46,ata,b,177,39,142,5,dom,186,300,245,13671000,427,2.50,5.00,1,11,1,0,88,154,135,1829520,NA,1,2,119,241,201,5764479,0.97,1,0,139,179,105,2612505,NA,1,98,192,290,200,11136000,1.23,1,0,61,86,102,535092,NA,17
40,47,ata,c,179,39,142,5,dom,220,210,260,12012000,409,2.50,5.00,2,10,1,0,114,138,107,1683324,NA,1,2,140,171,153,3662820,NA,1,0,259,287,302,22448566,NA,1,770,170,290,290,14297000,2.00,1,0,215,124,140,3732400,NA,15
